,Ratings,Reviews
10,5.0 ,"  A One plus user.Oneplus One -> Oneplus 3T -> Oneplus 7T.I don't like other android phones due it's UI, love stock android.Camara is awesomeFacing problem with notifications, don't know what at top.I was expecting great battery but its average.As i moved from 3T to 7T, I had to buy wireless headphones and was worried about this. But Bluetooth connection is also good/stable.

"
11,1.0 ,"  The smart Lock feature is not working on the phone. It doesn't require PIN/ fingerprint sensor sometimes. It gets unlocked by side power button which creates a big security issue. The battery back up is just pathetic. Not so great camera make is totally underserving for the kind of price OnePlus is selling this device. If option available, I would have asked for refund.

"
12,5.0 ,"  After 1st update battery capacity is good

"
13,1.0 ,"   I am uploading a video and image watch it before but it,Don't waste your money on this phone @this price range.Many customers faces same as I am facing the issue of screen flickering while watching videos specially YouTube.. if u do not noticed, now notice it on the upper side where the notch is setup. Play YouTube u can see when u do for full screen and again normal.I am purchased it but thanks to Amazon they replaced it but again same issue 'screen flickering' and again thanks to Amazon they approve my return and now I get my refund..But seriously this device is not too good at this price. So pls don't waste your money.And OnePlus, with u never expect like this.

"
14,3.0 ,"  It has many features to tell but will tell only two problems of it..1. Battery Draining like hell.2. Heating issues.Don't know why but these two severe problems I'm facing..I play games..Never ever expected such experience with this Premium Phone..

"
15,5.0 ,"  Camera quality l, gestures, condition of package all very good.

"
16,5.0 ,"  This beast puts One Plus back in the game!7T should have been the only product launched by OnePlus instead of 7 & 7pro!What a phone it is!Processing speed 5/5Camera 4.2/5Look n Feel 4.8/5Performance 5/5Lags 0/5Charging 5/5Highlights:90GHz screen refresh rate is something that's puts OnePlus 7T in the league of the iPhones and the S10.Cons:Nightmode could have been better!Not upto the mark of Pixel and even iPhone 11Battery could have been 4000mah, but still 30T warp is a mind-blowing deal.Memory slot could have been arranged.Wow factor:30T 😘Telephoto lens 😘Configs 8GB-128 combo is sufficientNow, coming to comparison with iPhone XR and iPhone 11, personally I would prefer OnePlus because of flexibility, Android ecosystem provides to the users.Verdict:A perfect benchmark from most of the parameters.Performance wise is a SHOWSTOPPER!!Should you upgrade from 7 to 7T -NO, save your money.From iPhone 8 or Below to 7T -Yes

"
17,1.0 ,"  Very worst on speed. hanging and not responding at all. Got mobile day before yesterday on 2nd Oct and installed only basic apps like whatsapp, fb, banking apps and no movies or any other images or music loaded but still it is hanging.Now the clock is not working and the alarm is not ringing which is a very basic feature

"
18,5.0 ,"  Amazing phone.. and charging is awesome.. 0 to 100 in just 51 min

"
19,5.0 ,"  Firstly, I didn't receive my headset. It's mentioned on Amazon website that the customers will get a free headset in the box.This is like misleading the customers by giving false information.Secondly, I want to say. I like everything about this phone. This is my first Oneplus phone and I love Oxygen OS.Having said that, I'm facing some minor heating issues with my phone. It's on and off but it still bothers me. Didn't expect it would happen with Oneplus. Hope this can be fixed. Had heard a lot about OnePlus so, when I decided to purchase a new phone I picked OnePlus 7T over ROG 2.Battery is decent. Does not drain out quickly. Using dark mode helps a lot in saving battery even after heavy usage.I don't like the camera of this phone. When you use beauty mode it entirely changes your face and you look really weird. Samsung, Oppo, Vivo are far better when it comes to camera. Wide angle photos also come out odd. When you click objects using wide angle they come out well. But, when you click photos of people the person in the front comes out really bad. Especially with the selfie camera. This phone has the worse selfie camera.I was earlier using Samsung S7 Edge which was much smaller compared to OnePlus 7T. This phone is big. So, it will take some time for me to get adjusted to this phone.

"
20,5.0 ,"  It is good phone. Best at it's price point. Great phone better than Asus Rog phone 2 in overall performance. Buy it without any second thought. Better display 90hz fluid amoled 2400*1080. If you want a allrounder go for it.

"
21,1.0 ,"  I was using Samsung phone and with all the talk going around thought of giving one plus a try.  Received oneplus7t and set up the phone.  Not worth of spending. They don't have 3.5 mm audio jack and they don't provide type c connector also. Samsung phone comes with good quality headphones.  When apple released phone without audio Jack, they provided connector.It's big disappointment for me as I make lot of calls using earphones.One plus need to think about it..

"
22,5.0 ,"  Beast compared to any product and wonderful product provided by one plus.Thanks for the one plus tean.

"
23,5.0 ,"  This phone is just lit 🔥...one of the best phone I hv ever seen .... everything about is just flawless ...worth buying ... I'm loving it ❤️

"
24,1.0 ,"  Camera quality is worst while opening portrait mode back camera stop working , while putting status on WhatsApp it select by own not that picture which you select.....I am continuously in contact with Amazon customer care they just said do this do that....it's being 4 days of purchase....what they think we don't know how to operate......if there is some fault replace it....why you people are just wasting our time.....first we spend a good amount of money and now we just waste our time....it's a request kindly replace it before your replacement time period over...as it's 15 Oct and 9th Oct already completed in nonsense thingsThanks and regardsAmazon customer

"
25,5.0 ,"  I had been using Mi for the past 4 years. Loved the software experience there but I knew something was lacking on the hardware end.I decided to switch over to some real flagship grade phone around the 40K mark like S10e or Pixel 3a and I had almost bought either one, just  when the pics of the OnePlus 7T were teased online by OnePlus.The design of the OP7T had my attention immediately ! And I decided to wait for it.Not much review and comparison videos for the 7T were available before the first sale , but blown away by the sheer looks of 7T,  I instantly bought the OnePlus 7T as soon as it went on sale on 28th and trust me I will never regret my decision to choose OnePlus.I will now classify this review category wise:-DESIGN: The design looks fabulous. Elegant is the right word for the Frosted Silver colour. The matte frosted glass back and the circular camera looks dope! Not at all fingerprint magnet unlike previous 1+ Mirror finishes.IN-HAND: The phone is taller than OnePlus 6T (for comparison) but is a tad thinner and feels lighter. The overall in-hand feel is great due to the curvedback glass and narrower width and even when you hold it without a case, it doesn't slip. It feels premium for sure.CAMERA: The triple camera setup is a serious upgrade over the previous OnePlus as well as Mi phones. The photo quality is great. Sharp and detailed images are produced by these camera.The nightscape images are good too. The macro mode is something I've never seen on any phone before . The macros are so up close and detailed. Check my Nightscape and Macro mode samples.The main camera has OIS and EIS and the videos are really stable. That's what I was talking about the OIS as a hardware feature was lacking on my previous mid range phones.And I am so glad it has a small notch for the front camera instead of pop up camera, as I'm not a fan of pop up cams and I just doubt their longevity in real world conditions.BATTERY: First of all the WARP charge is some serious tech. I mean from 10% to 100% it just charged in less than an hour. Also, OnePlus claims that you can plug in your phone and can use it as well as play games while the phone is charging and there won't be any heating issues.As for the battery back up, on the first day after setup the battery drained really quickly, even on standby. But in the next couple of days the Android 10 AI kicked in and it learnt my usage pattern and started giving me notifications as to which app is draining battery and asked me to optimise it. Also it showed a notification that it had restricted background activities of certain apps overnight when I was not using the phone.I also tweaked the background activities and battery optimisation of  certain apps manually and trust me now my phone is giving me a day and a half's backup.Moreover the full dark mode in the Developer options looks dope as well as save a lot of battery as it's an AMOLED screen.SOT: My Screen On Time immediately before this review was around 7 hours with 30% battery still left and time since last charge was 18 hours. No gaming in these 7 hours, but I watched Netflix, YouTube , used WhatsApp, Twitter, Instagram browsed the web, made calls and my 4G data was active the entire time.[UPDATE: After receiving a small 112MB update for bug fixes and camera improvement, my SOT was a little over 9 hours 30 minutes ,over a Day and a half's usage, which is insane considering the 90Hz display. Well SOT and battery backup total depends on usage pattern. Mine includes calling, texting, browsing , social media over 4G mobile data....but no gaming so far]SCREEN: 7T has a large and dynamic screen with really good contrast and rich colours. You can calibrate the display as per your taste. The much hyped 90Hz display is true. You can really feel the difference between a 60 HZ and a 90HZ. 90Hz is so much smoother.SOFTWARE: 7T came with Android 10 out of the box. What more can you ask for! Also the Oxygen OS is great. Stock Android with a few improvisations and minimum bloatware. It's an amazing experience overall.PERFORMANCE: Well here the numbers say it all. Check the Antutu scores. It just tops the list. Blazing fast speed and performance. Instantly opens and switches apps without any lag. Didn't face any hang or freeze issues so far. No device heating issues so far.HAPTIC FEEDBACK: Guys you really need to feel it to believe it. The haptic feedback you feel while typing or playing a notification sound or music is just next level.CUSTOMER SUPPORT: I didn't encounter any issues to be calling customer care ,but I called them to inquire about how to avail  the ""Free 1-Year Extended Warranty"" . Yes you read it right. OnePlus just offered a complimentary extended warranty and you should just avail it. Well as for the customer care I was very well guided as to how to avail it . Also they were really polite and courteous and also followed up.PROTECTION PLANS: I would seriously suggest you to just consider checking out the protection plans on OnePlus website. They are pretty economical and would just provide you an assurance that you device is covered from accidental drops or water damage. I bought one and it now gives me a peace of mind that the premium price I paid for this device, is insured.All in all I would say it's a True Flagship device in the 30's price bracket.I just don't know what else a flagship phone can pack in more , perhaps wireless charging and IP68 rating!But those 2 features aren't a deal breaker as the WARP charge is like twice or thrice as fast as wireless charging, which leaves wireless charging just a mere showoff feature as you really can't use the phone while wirelessly charging it. I don't find any practicality in wireless charging.As for the IP rating I would say it's ""Unofficially"" fairly water resistant. Checkout various water drop tests on You Tube. But just don't try them :PWell, just go for this phone ( if your budget allows) for a true FLAGSHIP EXPERIENCE, You won't regret buying it.

"
26,1.0 ,"  Do not buy this device almost 40% of buyers have recieved phones with faulty display and amazon is not allowing replacement

"
27,5.0 ,"  I'm an iPhone user for last few years!! So I had a feeling any Android device cannot beat the camera, display and user interface experience of iphone. But here it is, OnePlus 7T with 90hz display is just a magic in hand. And also the camera is just superb.Initially I wanted to go for iPhone 11, buy instead decided to go for this and I feel I made a right decision. So close to eyes and go for this, you'll love it

"
28,1.0 ,"  Want to return but they are denying. Battery draining very fast and there are some gap on the back panel. Not happy with the Amazon services no one helping

"
29,4.0 ,"  Good quality camera, great finger print reader , enormous battery life with fast charging , easy to handle, beautiful user interface, timely delivered , thanks Amazon. 😃🥰👍

"
30,1.0 ,"  Worst services from Amazon, and 2nd class product from oneplus..design of the phone has no premium quality. Phones under 20k have better built quality than oneplus.. my first and last experience with oneplus. And Amazon train your people with adequate knowledge...

"
31,5.0 ,"  Display 5*Camera 5Performance 5Battery 4

"
32,5.0 ,"  Was sceptical when watched reviews that it gives OnePlus 7pro a run for it's money. But having using since last 4days. I am assured that it does give OnePlus 7pro, Samsung S10 and even Iphone 11 a run for the money.Interface- I used MIUI, EMIUI, amigo os, but none of those were never smooth as Oxygen OS. It's super fluid and killing fast (credit also goes to SD855+ and 8gb ram).Camera- One of the best under 50k that's the only thing I can say.Built Quality- On par with other premium smartphonesDisplay- Have used LCD panel display phones for entire life. So yes, really enjoying watching videos. (And to make the things more sweeter Stereo Speakers on the phone)Verdict- If you can spend 3-4k more than OnePlus 7. Then do it. It will be worth it.

"
33,1.0 ,"  I don't wanna rate this item.. A cheap class defected product I have received from amazon and plz guys don't order any electronic item like mobile phone laptop anything. 90% of us get defected item from amazon. and now these guys are not taking it back.. I complained them so many times but no one wants to listen..  I complained first day itself when I got delivered this prodect and they have fixed my appointment with some of their technician but no one came to check this product. It's been 6 days now but no action from there side so please I requested to all of you who looks for electric product on amazon. plz don't buy 👎👎👎👎👎👎👎👎👎👎👎👎

"
34,4.0 ,"  Got my phone yesterday, it's just amazing 😍Pros: Camera is amazing, it is super fast and look is splendid.Cons: heats up a bit while charging and drains quite fast.Great phone overall.

"
35,1.0 ,"  Phone looks great and works well. Except it's got a glitch strip occassionally on the top while I use YouTube. I've been trying to contact the Amazon team for a while now but to no avail

"
36,2.0 ,"  I think heating issue this phone

"
37,5.0 ,"  Update 1: just got the new update to oxygen OS 10.0.3 and the issues with the gaming mode are gone....Been using this for 2 days now and let me say this first this is a great device and I am really really glad I bought this and not Samsung Note 10. Now here is my review broken down in Pros and Cons list.Pros:Comes with pre-applied screen guard and a transparent silicon case in the box.As always Cable quality is great and Charger is well built.Display quality is great and as in the spec sheet it is a HDR10+ certified display which provides gorgeous colors and great viewing experience.In-Hand feel is also great, the device has a weight to it that doesn't make it too heavy or to light to use.The back glass is slippery but not as slippery as previous OnePlus devices.I have big hands so I can easily reach the far corners for gesture navigation.Performance is just top notch. I haven't used any device till now that can surpass the fluidity of this device. Everything feels so natural and seamless.The 90Hz display is just great and adds to the faster experience of the device.Speakers are not as good as the ASUS ROG Phone 2 or the iPhone XS PRO MAX but they are great for the price range and may be equal to Samsung Note series.Call quality is great on JIO and Vodafone networks, Mic also performs a great job in cancelling the ambient noise so the other party can hear your voice clearly in both loudspeaker and normal modes.Charging speeds are great too. Got the device fully charged from 15% tot 100% in just and hour and that is great.The new Android 10  with Oxygen OS is great and fluid as I said earlier but there are still some bugs to be fixed by the OnePlus team.The front camera is great for casual selfies in ample light situations but in low light the software is not yet optimized yet.The same goes for the triple camera setup at the back. It is a good camera but can be made better using the software. In a lot of light the pictures comes great but sometimes the colors are faded out. in Low light there is a bit much noise for my liking and same goes for the Macro shots.Battery life is great and I am constantly getting around 5hr of screen on time with my average to above average usage of the device.Cons:Hardware wise there are no cons in the device but software wise there are a bit of bugs and much needed improvement.There is a bug whenever I open a Game or any graphics intensive app the screen first goes to black and then O have to lock the device and unlock it again using the face unlock to get to the game screen.The Camera software is not optimized yet.Battery life can be an issue for some users.The Navigation gestures are the worst to ever grace the Android Screen. They are slow, Clumsy and needs a lot of getting use-to by someone who is coming from the older OnePlus gestures. Not to mention the issues I feel while using the Back gesture with the tall side ridges in the provided case. I have to literally put pressure on the thumb to dig into the edge of the display and the ridge of the case to get it working every-time and now I have switched back to older 3 button navigation.

"
38,1.0 ,"  Did not get three cases with 7t mobile.

"
39,1.0 ,"  This phone has overheating issue even for normal browsing. A reputed brand with an issues like this is not acceptable. I am not happy with my phone after investing so much. Amazon has to be taken care there trusted buyers by replacing the defected phone.

"
40,5.0 ,"  Nice phone...Camera superb, Battery great and ideal premium phone at such an affordable price

"
41,1.0 ,"  Worst camera ever... Cheap quality of back cover... Straight away denied when i ask for exchange on the same time within 2 hrs.Please do not buy oneplus 7t is you needed camera. Instead buy iphone or vivo...Wasted my money.Also amazon is responsible for not taking back phone on the very same day.

"
42,5.0 ,"  Pros:Design looks sleek and easy to handle though it's a big screen. Well balanced in the hand. My 3T feels a little heavy though there is not much of a weight difference.Good Speed and performance.Very good display.Excellent cameras. Definitely a big change from previous models.Cons:Still in the process of experiencing the product. Will update based on my findings.

"
43,1.0 ,"  Phone is good but cover of the is given by OnePlus is damage. Let me know the procedure to replace .

"
44,5.0 ,"  Hands down. It's a beast. Flagship killer anyday.Lucky enough to buy one of these at mid budget price.Battery performance is not that great but for the 90hz display I think it does just fine. And anyway your getting the 30w fast charger.Customisations in oxygen OS are cool and hardware feels premiumStock android experience which I always love.Scary part is the glass back. Feels slippery and online videos show its tendency to break on impact. For now, iam using the case which comes in the box and its decent.I see forums complaining about the ugly camera but in real it doesn't look that ugly at all. Camera does the job perfectly in all modes. You don't need the iPhone 11 pro unless your a professional photographer and care about detailing.Overall I would give this phone a 9/10 and a major go.Buying this will not put a hole in your pocket and gives you the value of each penny spent. OnePlus phones can be easily used for 3-4 years and maybe even more since the company sends in updates regularly.Hope this review is useful.

"
45,1.0 ,"  No more function.When call from second sim first sim net disconnectedNot daily data usage option.Cheap phone. I really hurt after buy this company phone

"
46,1.0 ,"   Battery drains very fast.Camera result is so poor. Blurred photos are coming.Mainly phone hangs a lot with Normal operation. Refer attached video.Sometimes thumb lock is not working.When phone hangs, it gets clear by switch on/off the phone.One day all of sudden phone screen turns into black color. By pressing all places on screen, all side button press & switch on /off function was not helping to turn on the phone. So, i put my charger to see if anything is happens to turn on the phone but not worked. Finally I pressed + key & lock key together & it turned on with fresh device.I need replacement with freah & healthy device or return back all my money. Amazon team plz guide how to make complain to One plus team.Regards,Yatin

"
47,1.0 ,"  Product is worse, with respect to camera, it cannot reproduce the skin tone or texture even under broad day light. It struggles to sharpness and structure of image.My earlier review was removed for being honest, let's see, the Amazon is really considering to hide the fact by not accepting the real customer problem and removing it

"
48,5.0 ,"  The said phone is a piece of beauty. Looks amazingly beautiful in hand and the in-hand feeling is just awesome.From the very beginning the buying process on Amazon is simply smooth thereafter the product was delivered before the expected delivery time.The phone looks really sophisticated and the 90 Hz Display is smooth like never before. The Glacier Blue colour is the one which is being promoted predominantly by OnePlus but trust me the Frosted Silver colour is stunning.These are just the initial impressions and a more detailed review will follow after a few days of intense usage.

"
49,1.0 ,"  this is the worst device by oneplus i have ever seen.there is a red / green tint issue at lower brightness levels. i had to replace the first one because of the issue and the replacement device also had an issue so i had to return it. other then this display issue the device is fantastically built with great camera quality and OS.but the main thing in a smartphone which we will be seeing is the display and having such an issue with display is not acceptable. although oneplus is denying the occurence of such an issue. please beware before buying this. check this thing the moment your device arrives. get brightness below 40% and see if there is tint on dark grey / black backgrounds. if there is promptly return it. because oneplus stores might not accept any claims afterwards.

"
50,3.0 ,"  Battery life sucks!It drains completely in less than 5 hours after countinous usage.Iphone 11 gives about 10 hours of SOT even after having a small battery.Think before you purchase.I want OnePlus and Amazon to fix this as soon as they can otherwise this phone would get negative remarks just for its battery. Otherwise everything else is fine with this phone. OnePlus needs to optimise the phone!

"
51,1.0 ,"  Everything is fine .. but the slow-motion doesn't work properly it should start with normal speed then slow and then end with speed..but it's not at all good..it's awful..if you click 2 sec of video the phone will convert it to 30sec with very low speed and it's boring not similar as iPhone or any other phone..I just want to know it's with my phone or you guys are facing the same problem

"
52,1.0 ,"   This is my second device after replacement of the firstly bought OnePlus 7T , first time i got a defective product and the issue was battery draining. Although the OnePlus 7T has battery draining issue but the one I had was so rapid in battery draining. So within the return period i requested for a refund but Amazon denied and only issued for a  replacement. I tried my best calling customer support but they were so rude and never accepted my refund request. So i got my replacement. When coming to this replaced device , this is the one having lot of problems than the first one especially the main feature like camera. Front cam is not working at all and OnePlus claims that they have better software but the phone is very lag at some point and some apps might also get crashed while in use. I fed up with this device and for my bad luck i opened the box after return date because i was busy with exams. So they denied my replacement request by saying the return window has closed and asked me to contact OnePlus. I contacted OnePlus they also repeated the same they can't help me by replacing only they could do is to repair my newly bought phone. Is it fair enough from Amazon or OnePlus side to repair a newly bought phone and especially the one having inbuilt hardware issue? So without any option i went to Kochi service centre for repairing , they checked my phone and they told that it's just a software issue and told me to come after some hours. So i came after some hours and they did something with my phone and gave it back , then i checked infront of them . Very unfortunate from their side so i burst in to anger because when i opened the front cam still it's not functioning. So without even checking the condition of the phone they gave it back. So probably what would we do? This is my experience from Amazon and OnePlus side , so you decide before buying this phone. Worst phone and worst service from Amazon and OnePlus side. I'm just a student and with all my savings i bought this dream phone but it became my nightmare.Nothing more to be added about this phone in all departments it sucks.Please don't buy it from Amazon and if you have any other option go for another brand.

"
53,3.0 ,"  The sim tray ejector is missing from the packet, hence returning it back for another device

"
54,5.0 ,"  This is my first review ...I exchanged 6t and got my 7t on monday7t is beast for everyone... Very smooth and camera is ultimate ...The only thing i disappointed is battery capacity

"
55,1.0 ,"  I got the phone on Monday, from that day onward Mobile is showing downloading downloading... whereas it was not opening the Play store or i can't update any app onto the phone. Internet connectivity shows very slow. When i checked with my old phone it was downloading the app with in few second, whereas this phone show downloading more than 1hr.  I am not happy the way mobile is functioning. I think there is an software issue into this phone.  Second when i use this phone my eyes are getting more strainGood things is the desing, Batter, Finger scanning. But software is creating the issue to use.

"
56,1.0 ,"  Heating and battery drains very quickly. If battery life is not good then fast charging does not matters. No support from one plus customer care. Camera is fake. Portarit mode is very poor quality. I just want to tell the customers that oneplus is cheating its customers. Desperately wants to return this phone.

"
57,1.0 ,"  From ""Darshita Electronics"", Today I received my New OP7T 8GB/128GB Glacier Blue model. But the device is Not Booting even after 1Hour and also doesn't restart as well. Customer support person told me to Charge for 4 hours..! The device is already in Hot condition. I don't know how it resolves the issue. Feeling cheated after spending a hard-earned money. Waiting for the replacement. Instead of buying from third party vendors, better Buy from OnePlus Site itself.

"
58,5.0 ,"  Firstly My Dream To Hold A OnePlus Device Came True !!Since OP3T I'm Eagerly Waiting To Use A OnePlus DeviceI'm Not Going To Review This Because Everybody Knows About 1+ Product It's Just Top Notch In Every AspectThey Don't Include IP Rating,Wireless Charging,Memory Card Slot & The Saddest Thing Is They Removed 3.5mm Earphone JackBut Still We Put One Plus At No 1 In Premium Segment (Selling Devices)That's The Trust,Quality Of The Each Device They MadeBut We Are Paying In B/W 25-60KPlease Provide Atleast Type C - 3.5Mm Earphone Jack / Headphones ItselfIt Hurts - Cause I'm A Music LoverFinally - NEVER SETLLE 💙✊

"
59,3.0 ,"  Ok so I am using this device from 3 days. Here is my review. I bought this phone after using iPhone 7 plus and Vivo NEX. Everyone here is writing about pros. But I will write about cons.1. UI - there are too many issues with software. For example it has gesture navigation option. But trust me. Its use less. You will be back to old school navigation key after few hours. Every one use mobile case these days. And it is very hard to use those gestures with case on. Also it conflicts with many apps. You will not be able to open menu of any app due to these gestures. Vivo nex has this feature but they implemented it very well.2. Battery - It has only 3800mAh battery. You may have watched many videos it is enough for 5-6 hours. Trust me it's not. I am getting only 4- hours SOT with very normal uses. Update - I lost 2% battery while writing this review.3. Charging - Oneplus says it support 30W charger. So let me come to reality. I Compared this phone with my old vivo nex. And I found 7t charges at maximum 3450mA (checked with Ampare app). And Vivo nex with has 23.5W charger charges at 4100mA. Don't know why any YouTube didn't mentioned it.4. Camera - The thing I liked about camera is just macro mode. Every thing else is still below average in this price range. Front camera and portrait mode is even worse than my 3 year old iPhone 7 plus.Fingerprint, facescanner and performance is perfect.

"
